,name,year,month,day,hour,minute,library,index,conc,RIN,set,lineGC,sublineGC,coditionGC,cycle
W2012-3_077,W2012-3-77,2012,12,18,12,1,W2012-3,77,40.6,NA,weekly,NA,NA,NA,2
W2012-3_078,W2012-3-78,2012,12,18,12,1,W2012-3,78,118,NA,weekly,NA,NA,NA,2
W2012-3_079,W2012-3-79,2012,12,25,12,1,W2012-3,79,181.2,NA,weekly,NA,NA,NA,2
W2012-3_080,W2012-3-80,2012,12,25,12,1,W2012-3,80,192.4,NA,weekly,NA,NA,NA,2
W2012-3_081,W2012-3-81,2012,12,25,12,1,W2012-3,81,97.4,NA,weekly,NA,NA,NA,2
W2012-3_082,W2012-3-82,2012,12,25,12,1,W2012-3,82,108,NA,weekly,NA,NA,NA,2
W2012-3_083,W2012-3-83,2012,12,25,12,1,W2012-3,83,85.2,NA,weekly,NA,NA,NA,2
W2012-3_084,W2012-3-84,2012,12,25,12,1,W2012-3,84,146,NA,weekly,NA,NA,NA,2
W201113-2_009,W201113-2-9,2013,1,8,12,1,W201113-2,9,192,NA,weekly,NA,NA,NA,2
W201113-2_010,W201113-2-10,2013,1,8,12,1,W201113-2,10,104,NA,weekly,NA,NA,NA,2
W201113-2_011,W201113-2-11,2013,1,8,12,1,W201113-2,11,180,NA,weekly,NA,NA,NA,2
W201113-2_012,W201113-2-12,2013,1,8,12,1,W201113-2,12,152,NA,weekly,NA,NA,NA,2
W201113-2_013,W201113-2-13,2013,1,8,12,1,W201113-2,13,146,NA,weekly,NA,NA,NA,2
W201113-2_014,W201113-2-14,2013,1,8,12,1,W201113-2,14,136,NA,weekly,NA,NA,NA,2
W201113-2_015,W201113-2-15,2013,1,15,12,1,W201113-2,15,76,NA,weekly,NA,NA,NA,2
W201113-2_016,W201113-2-16,2013,1,15,12,1,W201113-2,16,176,NA,weekly,NA,NA,NA,2
W201113-2_017,W201113-2-17,2013,1,15,12,1,W201113-2,17,79.2,NA,weekly,NA,NA,NA,2
W201113-2_018,W201113-2-18,2013,1,15,12,1,W201113-2,18,122,NA,weekly,NA,NA,NA,2
W201113-2_019,W201113-2-19,2013,1,15,12,1,W201113-2,19,156,NA,weekly,NA,NA,NA,2
W201113-2_020,W201113-2-20,2013,1,15,12,1,W201113-2,20,324,NA,weekly,NA,NA,NA,2
W201113-2_021,W201113-2-21,2013,1,22,12,1,W201113-2,21,184,NA,weekly,NA,NA,NA,2
W201113-2_022,W201113-2-22,2013,1,22,12,1,W201113-2,22,188,NA,weekly,NA,NA,NA,2
W201113-2_023,W201113-2-23,2013,1,22,12,1,W201113-2,23,146,NA,weekly,NA,NA,NA,2
W201113-2_024,W201113-2-24,2013,1,22,12,1,W201113-2,24,81.6,NA,weekly,NA,NA,NA,2
W201113-2_025,W201113-2-25,2013,1,22,12,1,W201113-2,25,22.8,NA,weekly,NA,NA,NA,2
W201113-2_026,W201113-2-26,2013,1,22,12,1,W201113-2,26,212,NA,weekly,NA,NA,NA,2
W201113-2_027,W201113-2-27,2013,1,29,12,1,W201113-2,27,188,NA,weekly,NA,NA,NA,2
W201113-2_028,W201113-2-28,2013,1,29,12,1,W201113-2,28,199.2,NA,weekly,NA,NA,NA,2
W201113-2_029,W201113-2-29,2013,1,29,12,1,W201113-2,29,105.8,NA,weekly,NA,NA,NA,2
W201113-2_030,W201113-2-30,2013,1,29,12,1,W201113-2,30,122,NA,weekly,NA,NA,NA,2
W201113-2_031,W201113-2-31,2013,1,29,12,1,W201113-2,31,152.2,NA,weekly,NA,NA,NA,2
W201113-2_032,W201113-2-32,2013,1,29,12,1,W201113-2,32,356,NA,weekly,NA,NA,NA,2
W201113-2_033,W201113-2-33,2013,2,5,12,1,W201113-2,33,218,NA,weekly,NA,NA,NA,2
W201113-2_034,W201113-2-34,2013,2,5,12,1,W201113-2,34,162,NA,weekly,NA,NA,NA,2
W201113-2_035,W201113-2-35,2013,2,5,12,1,W201113-2,35,194,NA,weekly,NA,NA,NA,2
W201113-2_036,W201113-2-36,2013,2,5,12,1,W201113-2,36,210,NA,weekly,NA,NA,NA,2
W201113-2_037,W201113-2-37,2013,2,5,12,1,W201113-2,37,148,NA,weekly,NA,NA,NA,2
W201113-2_038,W201113-2-38,2013,2,5,12,1,W201113-2,38,200,NA,weekly,NA,NA,NA,2
W201113-2_039,W201113-2-39,2013,2,12,12,1,W201113-2,39,340,NA,weekly,NA,NA,NA,2
W201113-2_040,W201113-2-40,2013,2,12,12,1,W201113-2,40,516,NA,weekly,NA,NA,NA,2
W201113-2_041,W201113-2-41,2013,2,12,12,1,W201113-2,41,145.6,NA,weekly,NA,NA,NA,2
W201113-2_042,W201113-2-42,2013,2,12,12,1,W201113-2,42,163,NA,weekly,NA,NA,NA,2
W201113-2_043,W201113-2-43,2013,2,12,12,1,W201113-2,43,49.2,NA,weekly,NA,NA,NA,2
W201113-2_044,W201113-2-44,2013,2,12,12,1,W201113-2,44,346,NA,weekly,NA,NA,NA,2
W201113-2_045,W201113-2-45,2013,2,19,12,1,W201113-2,45,118,NA,weekly,NA,NA,NA,2
W201113-2_046,W201113-2-46,2013,2,19,12,1,W201113-2,46,181.2,NA,weekly,NA,NA,NA,2
W201113-2_047,W201113-2-47,2013,2,19,12,1,W201113-2,47,187.8,NA,weekly,NA,NA,NA,2
W201113-2_048,W201113-2-48,2013,2,19,12,1,W201113-2,48,162,NA,weekly,NA,NA,NA,2
W201113-2_049,W201113-2-49,2013,2,19,12,1,W201113-2,49,168,NA,weekly,NA,NA,NA,2
W201113-2_050,W201113-2-50,2013,2,19,12,1,W201113-2,50,358,NA,weekly,NA,NA,NA,2
W201113-2_051,W201113-2-51,2013,2,26,12,1,W201113-2,51,160,NA,weekly,NA,NA,NA,2
W201113-2_052,W201113-2-52,2013,2,26,12,1,W201113-2,52,286,NA,weekly,NA,NA,NA,2
W201113-2_053,W201113-2-53,2013,2,26,12,1,W201113-2,53,174,NA,weekly,NA,NA,NA,2
W201113-2_054,W201113-2-54,2013,2,26,12,1,W201113-2,54,250,NA,weekly,NA,NA,NA,2
W201113-2_055,W201113-2-55,2013,2,26,12,1,W201113-2,55,80,NA,weekly,NA,NA,NA,2
W201113-2_056,W201113-2-56,2013,2,26,12,1,W201113-2,56,324,NA,weekly,NA,NA,NA,2
W201113-2_057,W201113-2-57,2013,3,7,12,1,W201113-2,57,20.8,NA,weekly,NA,NA,NA,2
W201113-2_058,W201113-2-58,2013,3,7,12,1,W201113-2,58,352,NA,weekly,NA,NA,NA,2
W201113-2_059,W201113-2-59,2013,3,7,12,1,W201113-2,59,166,NA,weekly,NA,NA,NA,2
W201113-2_060,W201113-2-60,2013,3,7,12,1,W201113-2,60,430,NA,weekly,NA,NA,NA,2
W201113-2_061,W201113-2-61,2013,3,7,12,1,W201113-2,61,134,NA,weekly,NA,NA,NA,2
W201113-2_062,W201113-2-62,2013,3,7,12,1,W201113-2,62,190,NA,weekly,NA,NA,NA,2
W201113-2_063,W201113-2-63,2013,3,12,12,1,W201113-2,63,376,NA,weekly,NA,NA,NA,2
W201113-2_065,W201113-2-65,2013,3,12,12,1,W201113-2,65,216,NA,weekly,NA,NA,NA,2
W201113-2_066,W201113-2-66,2013,3,12,12,1,W201113-2,66,328,NA,weekly,NA,NA,NA,2
W201113-2_067,W201113-2-67,2013,3,12,12,1,W201113-2,67,188,NA,weekly,NA,NA,NA,2
W201113-2_068,W201113-2-68,2013,3,12,12,1,W201113-2,68,430,NA,weekly,NA,NA,NA,2
W201113-2_070,W201113-2-70,2013,3,19,12,1,W201113-2,70,258,NA,weekly,NA,NA,NA,2
W201113-2_071,W201113-2-71,2013,3,19,12,1,W201113-2,71,226,NA,weekly,NA,NA,NA,2
W201113-2_073,W201113-2-73,2013,3,19,12,1,W201113-2,73,286,NA,weekly,NA,NA,NA,2
W201113-2_074,W201113-2-74,2013,3,19,12,1,W201113-2,74,458,NA,weekly,NA,NA,NA,2
W201113-2_075,W201113-2-75,2013,3,26,12,1,W201113-2,75,196,NA,weekly,NA,NA,NA,2
W201113-2_076,W201113-2-76,2013,3,26,12,1,W201113-2,76,382,NA,weekly,NA,NA,NA,2
W201113-2_077,W201113-2-77,2013,3,26,12,1,W201113-2,77,200,NA,weekly,NA,NA,NA,2
W201113-2_078,W201113-2-78,2013,3,26,12,1,W201113-2,78,138,NA,weekly,NA,NA,NA,2
W201113-2_079,W201113-2-79,2013,3,26,12,1,W201113-2,79,136,NA,weekly,NA,NA,NA,2
W201113-2_080,W201113-2-80,2013,3,26,12,1,W201113-2,80,458,NA,weekly,NA,NA,NA,2
W201113-3_001,W201113-3-1,2013,4,2,12,1,W201113-3,1,106,NA,weekly,NA,NA,NA,2
W201113-3_002,W201113-3-2,2013,4,2,12,1,W201113-3,2,522,NA,weekly,NA,NA,NA,2
W201113-3_003,W201113-3-3,2013,4,2,12,1,W201113-3,3,142,NA,weekly,NA,NA,NA,2
W201113-3_004,W201113-3-4,2013,4,2,12,1,W201113-3,4,362,NA,weekly,NA,NA,NA,2
W201113-3_005,W201113-3-5,2013,4,2,12,1,W201113-3,5,396,NA,weekly,NA,NA,NA,2
W201113-3_006,W201113-3-6,2013,4,2,12,1,W201113-3,6,374,NA,weekly,NA,NA,NA,2
W201113-3_007,W201113-3-7,2013,4,9,12,1,W201113-3,7,458,NA,weekly,NA,NA,NA,2
W201113-3_008,W201113-3-8,2013,4,9,12,1,W201113-3,8,466,NA,weekly,NA,NA,NA,2
W201113-3_009,W201113-3-9,2013,4,9,12,1,W201113-3,9,466,NA,weekly,NA,NA,NA,2
W201113-3_010,W201113-3-10,2013,4,9,12,1,W201113-3,10,170,NA,weekly,NA,NA,NA,2
W201113-3_011,W201113-3-11,2013,4,9,12,1,W201113-3,11,428,NA,weekly,NA,NA,NA,2
W201113-3_012,W201113-3-12,2013,4,9,12,1,W201113-3,12,358,NA,weekly,NA,NA,NA,2
W201113-3_013,W201113-3-13,2013,4,16,12,1,W201113-3,13,450,NA,weekly,NA,NA,NA,2
W201113-3_014,W201113-3-14,2013,4,16,12,1,W201113-3,14,640,NA,weekly,NA,NA,NA,2
W201113-3_015,W201113-3-15,2013,4,16,12,1,W201113-3,15,162,NA,weekly,NA,NA,NA,2
W201113-3_016,W201113-3-16,2013,4,16,12,1,W201113-3,16,310,NA,weekly,NA,NA,NA,2
W201113-3_017,W201113-3-17,2013,4,16,12,1,W201113-3,17,536,NA,weekly,NA,NA,NA,2
W201113-3_018,W201113-3-18,2013,4,16,12,1,W201113-3,18,532,NA,weekly,NA,NA,NA,2
W201113-3_019,W201113-3-19,2013,4,23,12,1,W201113-3,19,504,NA,weekly,NA,NA,NA,2
W201113-3_020,W201113-3-20,2013,4,23,12,1,W201113-3,20,610,NA,weekly,NA,NA,NA,2
W201113-3_021,W201113-3-21,2013,4,23,12,1,W201113-3,21,522,NA,weekly,NA,NA,NA,2
W201113-3_022,W201113-3-22,2013,4,23,12,1,W201113-3,22,580,NA,weekly,NA,NA,NA,2
W201113-3_023,W201113-3-23,2013,4,23,12,1,W201113-3,23,26,NA,weekly,NA,NA,NA,2
W201113-3_024,W201113-3-24,2013,4,23,12,1,W201113-3,24,390,NA,weekly,NA,NA,NA,2
W201113-3_025,W201113-3-25,2013,4,30,12,1,W201113-3,25,450,NA,weekly,NA,NA,NA,2
W201113-3_026,W201113-3-26,2013,4,30,12,1,W201113-3,26,430,NA,weekly,NA,NA,NA,2
W201113-3_027,W201113-3-27,2013,4,30,12,1,W201113-3,27,592,NA,weekly,NA,NA,NA,2
W201113-3_028,W201113-3-28,2013,4,30,12,1,W201113-3,28,312,NA,weekly,NA,NA,NA,2
W201113-3_029,W201113-3-29,2013,4,30,12,1,W201113-3,29,140,NA,weekly,NA,NA,NA,2
W201113-3_030,W201113-3-30,2013,4,30,12,1,W201113-3,30,218,NA,weekly,NA,NA,NA,2
W201113-3_031,W201113-3-31,2013,5,7,12,1,W201113-3,31,526,NA,weekly,NA,NA,NA,2
W201113-3_032,W201113-3-32,2013,5,7,12,1,W201113-3,32,366,NA,weekly,NA,NA,NA,2
W201113-3_033,W201113-3-33,2013,5,7,12,1,W201113-3,33,378,NA,weekly,NA,NA,NA,2
W201113-3_034,W201113-3-34,2013,5,7,12,1,W201113-3,34,442,NA,weekly,NA,NA,NA,2
W201113-3_035,W201113-3-35,2013,5,7,12,1,W201113-3,35,156,NA,weekly,NA,NA,NA,2
W201113-3_036,W201113-3-36,2013,5,7,12,1,W201113-3,36,116,NA,weekly,NA,NA,NA,2
W201113-3_037,W201113-3-37,2013,5,13,12,1,W201113-3,37,426,NA,weekly,NA,NA,NA,2
W201113-3_038,W201113-3-38,2013,5,13,12,1,W201113-3,38,260,NA,weekly,NA,NA,NA,2
W201113-3_039,W201113-3-39,2013,5,13,12,1,W201113-3,39,374,NA,weekly,NA,NA,NA,2
W201113-3_040,W201113-3-40,2013,5,13,12,1,W201113-3,40,242,NA,weekly,NA,NA,NA,2
W201113-3_041,W201113-3-41,2013,5,13,12,1,W201113-3,41,110,NA,weekly,NA,NA,NA,2
W201113-3_042,W201113-3-42,2013,5,13,12,1,W201113-3,42,244,NA,weekly,NA,NA,NA,2
W201113-3_043,W201113-3-43,2013,5,21,12,1,W201113-3,43,132,NA,weekly,NA,NA,NA,2
W201113-3_044,W201113-3-44,2013,5,21,12,1,W201113-3,44,250,NA,weekly,NA,NA,NA,2
W201113-3_045,W201113-3-45,2013,5,21,12,1,W201113-3,45,200,NA,weekly,NA,NA,NA,2
W201113-3_046,W201113-3-46,2013,5,21,12,1,W201113-3,46,170,NA,weekly,NA,NA,NA,2
W201113-3_047,W201113-3-47,2013,5,21,12,1,W201113-3,47,89.4,NA,weekly,NA,NA,NA,2
W201113-3_048,W201113-3-48,2013,5,21,12,1,W201113-3,48,174,NA,weekly,NA,NA,NA,2
W201113-3_049,W201113-3-49,2013,5,28,12,1,W201113-3,49,304,NA,weekly,NA,NA,NA,2
W201113-3_050,W201113-3-50,2013,5,28,12,1,W201113-3,50,340,NA,weekly,NA,NA,NA,2
W201113-3_051,W201113-3-51,2013,5,28,12,1,W201113-3,51,152,NA,weekly,NA,NA,NA,2
W201113-3_052,W201113-3-52,2013,5,28,12,1,W201113-3,52,196,NA,weekly,NA,NA,NA,2
W201113-3_053,W201113-3-53,2013,5,28,12,1,W201113-3,53,130,NA,weekly,NA,NA,NA,2
W201113-3_054,W201113-3-54,2013,5,28,12,1,W201113-3,54,94.6,NA,weekly,NA,NA,NA,2
W201113-3_055,W201113-3-55,2013,6,4,12,1,W201113-3,55,494,NA,weekly,NA,NA,NA,2
W201113-3_056,W201113-3-56,2013,6,4,12,1,W201113-3,56,542,NA,weekly,NA,NA,NA,2
W201113-3_057,W201113-3-57,2013,6,4,12,1,W201113-3,57,84.6,NA,weekly,NA,NA,NA,2
W201113-3_058,W201113-3-58,2013,6,4,12,1,W201113-3,58,142,NA,weekly,NA,NA,NA,2
W201113-3_059,W201113-3-59,2013,6,4,12,1,W201113-3,59,88.4,NA,weekly,NA,NA,NA,2
W201113-3_060,W201113-3-60,2013,6,4,12,1,W201113-3,60,134,NA,weekly,NA,NA,NA,2
W201113-3_061,W201113-3-61,2013,6,11,12,1,W201113-3,61,290,NA,weekly,NA,NA,NA,2
W201113-3_062,W201113-3-62,2013,6,11,12,1,W201113-3,62,450,NA,weekly,NA,NA,NA,2
W201113-3_063,W201113-3-63,2013,6,11,12,1,W201113-3,63,340,NA,weekly,NA,NA,NA,2
W201113-3_064,W201113-3-64,2013,6,11,12,1,W201113-3,64,200,NA,weekly,NA,NA,NA,2
W201113-3_065,W201113-3-65,2013,6,11,12,1,W201113-3,65,99.2,NA,weekly,NA,NA,NA,2
W201113-3_066,W201113-3-66,2013,6,11,12,1,W201113-3,66,97,NA,weekly,NA,NA,NA,2
W201113-3_067,W201113-3-67,2013,6,19,12,1,W201113-3,67,248,NA,weekly,NA,NA,NA,2
W201113-3_068,W201113-3-68,2013,6,19,12,1,W201113-3,68,162,NA,weekly,NA,NA,NA,2
W201113-3_069,W201113-3-69,2013,6,19,12,1,W201113-3,69,156,NA,weekly,NA,NA,NA,2
W201113-3_070,W201113-3-70,2013,6,19,12,1,W201113-3,70,146,NA,weekly,NA,NA,NA,2
W201113-3_071,W201113-3-71,2013,6,19,12,1,W201113-3,71,75.8,NA,weekly,NA,NA,NA,2
W201113-3_072,W201113-3-72,2013,6,19,12,1,W201113-3,72,94.6,NA,weekly,NA,NA,NA,2
W201113-3_073,W201113-3-73,2013,6,26,12,1,W201113-3,73,234,NA,weekly,NA,NA,NA,2
W201113-3_074,W201113-3-74,2013,6,26,12,1,W201113-3,74,132,NA,weekly,NA,NA,NA,2
W201113-3_075,W201113-3-75,2013,6,26,12,1,W201113-3,75,118,NA,weekly,NA,NA,NA,2
W201113-3_076,W201113-3-76,2013,6,26,12,1,W201113-3,76,93.2,NA,weekly,NA,NA,NA,2
W201113-3_077,W201113-3-77,2013,6,26,12,1,W201113-3,77,50,NA,weekly,NA,NA,NA,2
W201113-3_078,W201113-3-78,2013,6,26,12,1,W201113-3,78,74,NA,weekly,NA,NA,NA,2